Commit SHA,Java File,Old function signature,New function signature
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/flowable/FlowableInternalHelper.java,"replaySupplier(Flowable, int)","replaySupplier(Flowable, int, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/flowable/FlowableInternalHelper.java,"replaySupplier(Flowable, int)","replaySupplier(Flowable, int, long, TimeUnit, Scheduler, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/flowable/FlowableInternalHelper.java,"replaySupplier(Flowable, long, TimeUnit, Scheduler)","replaySupplier(Flowable, long, TimeUnit, Scheduler, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/flowable/FlowableInternalHelper.java,"replaySupplier(Flowable, long, TimeUnit, Scheduler)","replaySupplier(Flowable, int, long, TimeUnit, Scheduler, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/flowable/FlowableInternalHelper.java,"replaySupplier(Flowable, int, long, TimeUnit, Scheduler)","replaySupplier(Flowable, int, long, TimeUnit, Scheduler, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/flowable/FlowableReplay.java,"create(Flowable, int)","create(Flowable, long, TimeUnit, Scheduler, int, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/flowable/FlowableReplay.java,"create(Flowable, int)","create(Flowable, int, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/flowable/FlowableReplay.java,"create(Flowable, long, TimeUnit, Scheduler, int)","create(Flowable, long, TimeUnit, Scheduler, int, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/flowable/FlowableReplay.java,"create(Flowable, long, TimeUnit, Scheduler)","create(Flowable, long, TimeUnit, Scheduler, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/flowable/FlowableReplay.java,"create(Flowable, long, TimeUnit, Scheduler)","create(Flowable, long, TimeUnit, Scheduler, int, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/observable/ObservableInternalHelper.java,"replaySupplier(Observable, long, TimeUnit, Scheduler)","replaySupplier(Observable, long, TimeUnit, Scheduler, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/observable/ObservableInternalHelper.java,"replaySupplier(Observable, long, TimeUnit, Scheduler)","replaySupplier(Observable, int, long, TimeUnit, Scheduler, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/observable/ObservableInternalHelper.java,"replaySupplier(Observable, int, long, TimeUnit, Scheduler)","replaySupplier(Observable, int, long, TimeUnit, Scheduler, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/observable/ObservableInternalHelper.java,"replaySupplier(Observable, int)","replaySupplier(Observable, int, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/observable/ObservableInternalHelper.java,"replaySupplier(Observable, int)","replaySupplier(Observable, int, long, TimeUnit, Scheduler, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/observable/ObservableReplay.java,"create(ObservableSource, long, TimeUnit, Scheduler, int)","create(ObservableSource, long, TimeUnit, Scheduler, int, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/observable/ObservableReplay.java,"create(ObservableSource, long, TimeUnit, Scheduler)","create(ObservableSource, long, TimeUnit, Scheduler, int, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/observable/ObservableReplay.java,"create(ObservableSource, long, TimeUnit, Scheduler)","create(ObservableSource, long, TimeUnit, Scheduler, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/observable/ObservableReplay.java,"create(ObservableSource, int)","create(ObservableSource, int, boolean)"
b71a1d9fed6c9899acd35136c9b8f2362189e68d,src/main/java/io/reactivex/internal/operators/observable/ObservableReplay.java,"create(ObservableSource, int)","create(ObservableSource, long, TimeUnit, Scheduler, int, boolean)"
a85ddd154087f634c2834851acff87a02d39a061,src/main/java/io/reactivex/internal/schedulers/ExecutorScheduler.java,"ExecutorScheduler(Executor)","ExecutorScheduler(Executor, boolean)"
1a774e6d775d381937ae360296a88610353fefe6,src/main/java/io/reactivex/internal/subscriptions/SubscriptionArbiter.java,"SubscriptionArbiter()","SubscriptionArbiter(boolean)"
7bdcb594806db8dce8a5ed1ad8f149269905731f,src/main/java/io/reactivex/internal/operators/flowable/FlowableSingle.java,"FlowableSingle(Flowable, T)","FlowableSingle(Flowable, T, boolean)"
d6345dc9283ade1d28afa3507b769108f5929dd0,src/main/java/io/reactivex/internal/operators/flowable/FlowableGroupBy.java,"FlowableGroupBy(Flowable, Function, Function, int, boolean)","FlowableGroupBy(Flowable, Function, Function, int, boolean, Function)"
ad8ca8e587be6f7836e5c76707248ac955af54e3,src/main/java/io/reactivex/internal/operators/single/SingleDelay.java,"SingleDelay(SingleSource, long, TimeUnit, Scheduler)","SingleDelay(SingleSource, long, TimeUnit, Scheduler, boolean)"
41cfbf643459306069411b43ee5ab2287576e6e5,src/main/java/io/reactivex/processors/UnicastProcessor.java,"checkTerminated(boolean, boolean, Subscriber, SpscLinkedArrayQueue)","checkTerminated(boolean, boolean, boolean, Subscriber, SpscLinkedArrayQueue)"
29bceefab6ca563c068f4b030eba10b98767ea33,src/main/java/io/reactivex/subjects/UnicastSubject.java,"UnicastSubject(int)","UnicastSubject(int, Runnable, boolean)"
29bceefab6ca563c068f4b030eba10b98767ea33,src/main/java/io/reactivex/subjects/UnicastSubject.java,"UnicastSubject(int)","UnicastSubject(int, boolean)"
3bfc275ca2f8d14a67305bbadb7bbc6315205250,src/main/java/io/reactivex/internal/operators/parallel/ParallelJoin.java,"ParallelJoin(ParallelFlowable, int)","ParallelJoin(ParallelFlowable, int, boolean)"
f53e02994ff9f53b33e1e2665d31f63a4c185f62,src/main/java/io/reactivex/internal/schedulers/SingleScheduler.java,"createExecutor()","createExecutor(ThreadFactory)"
71330c06186d72548a3443e8b22ef52d995d0e64,src/main/java/io/reactivex/internal/operators/flowable/FlowableSamplePublisher.java,"FlowableSamplePublisher(Publisher, Publisher)","FlowableSamplePublisher(Publisher, Publisher, boolean)"
71330c06186d72548a3443e8b22ef52d995d0e64,src/main/java/io/reactivex/internal/operators/flowable/FlowableSampleTimed.java,"FlowableSampleTimed(Publisher, long, TimeUnit, Scheduler)","FlowableSampleTimed(Publisher, long, TimeUnit, Scheduler, boolean)"
71330c06186d72548a3443e8b22ef52d995d0e64,src/main/java/io/reactivex/internal/operators/observable/ObservableSampleTimed.java,"ObservableSampleTimed(ObservableSource, long, TimeUnit, Scheduler)","ObservableSampleTimed(ObservableSource, long, TimeUnit, Scheduler, boolean)"
71330c06186d72548a3443e8b22ef52d995d0e64,src/main/java/io/reactivex/internal/operators/observable/ObservableSampleWithObservable.java,"ObservableSampleWithObservable(ObservableSource, ObservableSource)","ObservableSampleWithObservable(ObservableSource, ObservableSource, boolean)"
8429dc7671e2b26b6048ab47fa59e286dd77bf0c,src/main/java/io/reactivex/internal/operators/flowable/FlowableElementAt.java,"FlowableElementAt(Publisher, long, T)","FlowableElementAt(Publisher, long, T, boolean)"
8429dc7671e2b26b6048ab47fa59e286dd77bf0c,src/main/java/io/reactivex/internal/operators/observable/ObservableElementAt.java,"ObservableElementAt(ObservableSource, long, T)","ObservableElementAt(ObservableSource, long, T, boolean)"
ba6f392de399856c3d5ee48bbd5348aa67ce2866,src/main/java/io/reactivex/internal/operators/observable/ObservableRedo.java,"ObservableRedo(ObservableSource, Function)","ObservableRedo(ObservableSource, Function, boolean)"
ea03b91a274c189d5c6f62c6864a4bcf5b33d7fa,src/main/java/io/reactivex/internal/operators/flowable/FlowableSubscribeOn.java,"FlowableSubscribeOn(Publisher, Scheduler)","FlowableSubscribeOn(Publisher, Scheduler, boolean)"
4017e26b22b4905c241d1f3b13e9387bab5ccbd8,src/main/java/io/reactivex/internal/observers/BlockingObserver.java,"BlockingObserver()","BlockingObserver(Queue)"
ff3c5d0aa45494c90f3b83505315ed73835f67a9,src/main/java/io/reactivex/internal/operators/maybe/MaybeToSingle.java,"MaybeToSingle(MaybeSource)","MaybeToSingle(MaybeSource, T)"
ff3c5d0aa45494c90f3b83505315ed73835f67a9,src/main/java/io/reactivex/internal/operators/single/SingleFromObservable.java,"SingleFromObservable(Observable)","SingleFromObservable(Observable, T)"
7a1a4afad2984fb95265ec0af061fd1e87f0b75b,src/main/java/io/reactivex/internal/operators/observable/ObservableSwitchMap.java,"ObservableSwitchMap(ObservableSource, Function, int)","ObservableSwitchMap(ObservableSource, Function, int, boolean)"
60bf4fc559bac80ae5d53793ec008cfee067f29f,src/main/java/io/reactivex/internal/operators/observable/ObservableConcatMap.java,"ObservableConcatMap(ObservableSource, Function, int)","ObservableConcatMap(ObservableSource, Function, int, ErrorMode)"
a6bbf4630e9f3678ac56e96f9aa156f3d03ffc56,src/main/java/io/reactivex/Notification.java,"Notification()","Notification(Object)"
5688cc8ad6fb20dde449ba71138de278baba86ea,src/main/java/io/reactivex/internal/operators/flowable/FlowableSwitchMap.java,"FlowableSwitchMap(Publisher, Function, int)","FlowableSwitchMap(Publisher, Function, int, boolean)"
991ae3486ba9509f114a7645429126ef1322634a,src/main/java/io/reactivex/Observable.java,"validateBufferSize(int)","validateBufferSize(int, String)"
3a3d4df907f8e54d628b827a65f4869df3329e98,src/main/java/io/reactivex/internal/operators/observable/ObservableCache.java,"ObservableCache(CacheState)","ObservableCache(Observable, CacheState)"
b3f64d9af1da0f9d94bfebebec89feb240a9b2cb,src/main/java/io/reactivex/internal/operators/flowable/FlowableCache.java,"FlowableCache(CacheState)","FlowableCache(Flowable, CacheState)"
9099f90e2281e388385663c37eeaf4b5917987ae,src/main/java/io/reactivex/Flowable.java,"validateBufferSize(int)","validateBufferSize(int, String)"
0705001df0b52334829b2e4963469533618f14cb,src/main/java/io/reactivex/Completable.java,"doOnLifecycle(Consumer, Consumer, Runnable, Runnable, Runnable)","doOnLifecycle(Consumer, Consumer, Runnable, Runnable, Runnable, Runnable)"
0705001df0b52334829b2e4963469533618f14cb,src/main/java/io/reactivex/internal/operators/completable/CompletablePeek.java,"CompletablePeek(CompletableConsumable, Consumer, Consumer, Runnable, Runnable, Runnable)","CompletablePeek(CompletableConsumable, Consumer, Consumer, Runnable, Runnable, Runnable, Runnable)"
6f1cb00ff8443515131e49275748252358c55725,src/main/java/io/reactivex/internal/subscribers/flowable/EmptySubscriber.java,"EmptySubscriber(boolean)","EmptySubscriber(boolean, boolean)"
3fd1cc8441f3409d68d6d4dc25142c79feb16649,src/main/java/io/reactivex/internal/subscribers/observable/NbpEmptySubscriber.java,"NbpEmptySubscriber(boolean)","NbpEmptySubscriber(boolean, boolean)"
596f77f905069911f2d9046046afbd61966b54fd,src/main/java/io/reactivex/Observable.java,"mergeDelayError(Observable<? extends T>[])","mergeDelayError(ObservableConsumable, ObservableConsumable, Observable)"
596f77f905069911f2d9046046afbd61966b54fd,src/main/java/io/reactivex/Observable.java,"merge(Observable<? extends T>[])","merge(ObservableConsumable, ObservableConsumable, Observable)"
596f77f905069911f2d9046046afbd61966b54fd,src/main/java/io/reactivex/internal/operators/observable/NbpOperatorObserveOn.java,"NbpOperatorObserveOn(Scheduler, boolean, int)","NbpOperatorObserveOn(ObservableConsumable, Scheduler, boolean, int)"
596f77f905069911f2d9046046afbd61966b54fd,src/main/java/io/reactivex/internal/operators/observable/NbpOperatorTake.java,"NbpOperatorTake(long)","NbpOperatorTake(ObservableConsumable, long)"
000a174d87a901135f9665d3b11f3627fd2dc4ed,src/main/java/io/reactivex/exceptions/CompositeException.java,"CompositeException(String)","CompositeException(String, Collection)"
28fe6fd4cc5d0c551b11ca299226a5b3812c59fc,src/main/java/io/reactivex/Observable.java,"concat(Publisher<? extends T>[])","concat(Publisher, Publisher)"
28fe6fd4cc5d0c551b11ca299226a5b3812c59fc,src/main/java/io/reactivex/Observable.java,"concat(Publisher<? extends T>[])","concat(Publisher, Publisher, Publisher, Publisher, Publisher, Publisher, Publisher, Publisher, Publisher)"
28fe6fd4cc5d0c551b11ca299226a5b3812c59fc,src/main/java/io/reactivex/Observable.java,"concat(Publisher<? extends T>[])","concat(Publisher, Publisher, Publisher)"
28fe6fd4cc5d0c551b11ca299226a5b3812c59fc,src/main/java/io/reactivex/Observable.java,"concat(Publisher<? extends T>[])","concat(Publisher, Publisher, Publisher, Publisher, Publisher, Publisher, Publisher, Publisher)"
28fe6fd4cc5d0c551b11ca299226a5b3812c59fc,src/main/java/io/reactivex/Observable.java,"concat(Publisher<? extends T>[])","concat(Publisher, Publisher, Publisher, Publisher)"
28fe6fd4cc5d0c551b11ca299226a5b3812c59fc,src/main/java/io/reactivex/Observable.java,"concat(Publisher<? extends T>[])","concat(Publisher, Publisher, Publisher, Publisher, Publisher)"
28fe6fd4cc5d0c551b11ca299226a5b3812c59fc,src/main/java/io/reactivex/Observable.java,"concat(Publisher<? extends T>[])","concat(Publisher, Publisher, Publisher, Publisher, Publisher, Publisher)"
28fe6fd4cc5d0c551b11ca299226a5b3812c59fc,src/main/java/io/reactivex/Observable.java,"concat(Publisher<? extends T>[])","concat(Publisher, Publisher, Publisher, Publisher, Publisher, Publisher, Publisher)"
3061b7c8fa8ec79bbbabd60d7056de3861509c9a,src/main/java/io/reactivex/internal/operators/OperatorOnBackpressureBuffer.java,"OperatorOnBackpressureBuffer(int, boolean, boolean)","OperatorOnBackpressureBuffer(int, boolean, boolean, Runnable)"
7d03daa8d6d0fb6d59d8f5561f0598d79cb85ea5,src/main/java/rx/internal/operators/OperatorReplay.java,"OperatorReplay()","OperatorReplay(OnSubscribe, Observable, AtomicReference, Func0)"
0420193e7c075c4fa7986fe03e96fe4a92952cde,src/main/java/rx/internal/operators/OperatorMerge.java,"OperatorMerge()","OperatorMerge(boolean, int)"
0420193e7c075c4fa7986fe03e96fe4a92952cde,src/main/java/rx/internal/operators/OperatorMerge.java,"OperatorMerge(boolean)","OperatorMerge(boolean, int)"
82d7b9cca2efd0a8f36ec3b700bb8f34c445a093,src/main/java/rx/internal/operators/OperatorReplay.java,"OperatorReplay()","OperatorReplay(OnSubscribe, Observable, AtomicReference, Func0)"
bf12d3279361a9fb9ffba2bce95f36b7931a6fe2,src/main/java/rx/internal/operators/OperatorPublish.java,"OperatorPublish(Observable)","OperatorPublish(OnSubscribe, Observable, AtomicReference)"
615db6a15d8ef5dc8be01e963d058c18fe853a10,src/main/java/rx/internal/operators/OperatorToObservableSortedList.java,"OperatorToObservableSortedList()","OperatorToObservableSortedList(Func2, int)"
615db6a15d8ef5dc8be01e963d058c18fe853a10,src/main/java/rx/internal/operators/OperatorToObservableSortedList.java,"OperatorToObservableSortedList()","OperatorToObservableSortedList(int)"
615db6a15d8ef5dc8be01e963d058c18fe853a10,src/main/java/rx/internal/operators/OperatorToObservableSortedList.java,"OperatorToObservableSortedList(Func2)","OperatorToObservableSortedList(Func2, int)"
ffe0fa1c7e6f38a668d1650c1409a9eb81604788,src/main/java/rx/internal/operators/OnSubscribeUsing.java,"OnSubscribeUsing(Func0, Func1, Action1)","OnSubscribeUsing(Func0, Func1, Action1, boolean)"
7163288b11a67ddf6a155b7af4916d6b206a688e,src/perf/java/rx/subscriptions/CompositeSubscriptionPerf.java,"addClearLocal(TheState)","addClearLocal(TheState, Blackhole)"
